,,,,,,,,,,,,
PatternName,Description,PatternSummary,TriggerSignals,DiagnosticQuestions,RootCauseThemes,PatternPolarity,PatternType,PatternSeverity,PatternResolutionType,ZoneBias,PatternLevers,CandidateStrategyPathKeys
Process Misalignment,"Buyer in process conflict, or wants validation steps that do not support your strengths.",Requested decision steps or validation approach do not align to your strengths,Validation / Process Misalignment,"Is the buyer driving a decision process that conflicts with how we win, Have evaluation and purchase steps been confirmed with someone in authority, Are we reacting to requests without a mutually agreed decision path","Decision process steps were not fully identified or validated early, Changes in the decision process were not reconciled",Negative,Structural Risk,HIGH,RECOVER,"Zone1, Zone2, Zone3, Zone4","Decision Process Alignment, Differentiation Leverage","Decision_Process_Alignment, Test_Champion, Champion_Negotiation"
EB Alignment Gap,Economic Buyer hasn't been engaged or has not validated their alignment and support of the purchase.,Economic Buyer is not engaged or aligned to the initiative,No EB Validation,"Who has discretionary authority to approve this spend, Has the economic buyer validated alignment on the initiative, Has access to the economic buyer been declined or repeatedly delayed","Economic buyer was not aligned on the case for change, solution, investment, or timing, Economic buyer engagement was delayed, Economic buyer priorities and constraints were not understood, Progress was attempted without champion-mediated EB alignment, EB alignment gaps were not addressed through champion strategy",Negative,Structural Risk,CRITICAL,RECOVER,"Zone2, Zone3, Zone4","Case For Change Strength, Economic Buyer Commitment","Secure_EB_Alignment, Qualify_CaseForChange, Test_Champion, Empower_Champion, Disqualify_or_Deprioritize"
Stagnant Deal,We never built movement to begin with. Activity ≠ progress.,"Activity is occurring, but the deal is not progressing structurally",Activity Without Progress,"Is the deal progressing without qualification progress, Are required stakeholders or decision steps not advancing, Is the buyer unclear on next steps","A business-critical problem was not owned by the buyer, Urgency tied to cost of inaction was not established, Stakeholder expansion across personas and use cases did not occur",Negative,Structural Risk,HIGH,RECOVER,"Zone1, Zone2, Zone3","Buyer Urgency, Champion Strength","Qualify_CaseForChange, Identify_Champion_Targets, Build_Champion, Selling_to_Consensus, Disqualify_or_Deprioritize"
Momentum Loss,Movement existed but then declined or stopped.,Engagement pace or responsiveness is declining across interactions,Slowdowns or Silence,"Has buyer responsiveness slowed, Has urgency decreased compared to earlier conversations, Has tone or engagement become hesitant","Internal prioritization weakened against competing initiatives, Champion-led advancement of key deal gaps was not tested, Momentum remained seller-driven, Decision ownership and next-step accountability were not reinforced, Case for change was not presented to sufficient influencers",Negative,Momentum Risk,MEDIUM,RECOVER,"Zone1, Zone2, Zone3","Buyer Urgency, Buyer Consensus","Qualify_CaseForChange, Build_Champion, Test_Champion, Decision_Process_Alignment, Empower_Champion"
Validation Disadvantage,"Buyer structures validation event around competitor strengths, incumbent approaches, or commodity requirements that erode the seller’s differentiation.",Validation approach favors competitor strengths or avoids your differentiation,"Validation / Process Misalignment, No Differentiated Decision Criteria, Competition Gaining Mindshare","Is the validation plan misaligned with our differentiated strengths, Are test criteria favoring competitor or incumbent capabilities, Are we being evaluated on commodity requirements","Validation criteria were defined around competitor or incumbent capabilities, No champion-led alignment shaped evaluation around differentiated outcomes, Sales engagement began after validation structure was already defined, Seller followed buyer validation path without reframing around differentiated outcomes",Negative,Structural Risk,HIGH,RECOVER,"Zone2, Zone3","Differentiation Leverage, Decision Process Alignment, Buyer Consensus","Build_Champion, Test_Champion, Empower_Champion, Selling_to_Consensus"
Late Stakeholder Risk,"A new persona appears late and disrupts scope, criteria, or priorities.",New stakeholders are entering late and introducing new requirements or objections,New Stakeholder Appears Late,"Has a late stakeholder introduced new friction, Does this stakeholder have influence or veto power, Is the champion unable to align or neutralize this stakeholder","Decision process stakeholders were not identified or engaged early, Stakeholder decision criteria were not validated through a champion, Late stakeholder introduced new priorities or risks",Negative,Structural Risk,MEDIUM,RECOVER,"Zone3, Zone4","Buyer Consensus, Decision Process Alignment","Empower_Champion, Position_Outcomes_Vision, Activate_Consensus"
Commercial Misalignment,"Pricing or terms conflict emerges due to missing metrics, weak value, or lack of EB alignment.","Commercial discussions are misaligned on value, pricing, or terms",Conflict in Pricing or Terms,"Is there friction between pricing or terms and buyer expectations, Is value perception misaligned with the proposal, Has procurement escalated issues unrelated to impact or value","Commercial expectations were not aligned to buyer value and success criteria, Investment justification was not champion-sponsored before commercial discussion, Conflicting stakeholders introduced commercial risk, Seller and champion did not align on negotiation interests and boundaries, Value thresholds and anchor points were not aligned, Seller reacted to positional demands instead of interest-based options",Negative,Structural Risk,HIGH,RECOVER,"Zone1, Zone2, Zone3, Zone4","Economic Buyer Commitment, Differentiation Leverage","Empower_Champion, Champion_Negotiation, Secure_EB_Alignment"
Adoption Without Conversion,"Product usage is present but has not translated into ownership, decision process, or commercial intent.","Usage exists, but no structured buying motion or ownership is forming.","Adoption Without Internal Ownership, Adoption Without Decision Formation","Is anyone responsible for driving this internally, Has usage triggered a formal evaluation or buying process, Are stakeholders or commercial steps forming around this usage","Usage is not tied to a compelling business problem, No internal owner has taken responsibility, Usage has not created urgency or visibility",Negative,Structural Risk,HIGH,RECOVER,"Zone1, Zone2","Champion Strength, Decision Process Alignment","Identify_Champion_Targets, Build_Champion, Qualify_CaseForChange"
Unqualified Deal,No structural foundation exists to justify continued pursuit of the opportunity.,A deal is active but lacks the core structural conditions required for a viable decision path.,"Problem Not Validated, No Named or Active Champion, No EB Validation, Activity Without Progress",Has a buyer of authority confirmed a compelling problem worth solving? Is there a stakeholder willing to sponsor and drive the initiative internally? Is there a credible path to Economic Buyer alignment or support?,"No sponsor-backed case for change, No Champion ownership, No Economic Buyer alignment or access",Negative,Structural Risk,CRITICAL,RECOVER,"Zone1, Zone2, Zone3","Case for Change Strength, Champion Strength, Economic Buyer Commitment",Disqualify_or_Deprioritize
High Champion Advocacy,"Champion is actively coaching, influencing, and guiding the internal process.","Champion is actively advocating, coaching, and driving the deal internally",Champion Coaching & Influence,"Is a buyer proactively selling internally on our behalf, Is the champion creating access and insight beyond seller requests, Is the champion taking unprompted actions demonstrating deal ownership","Champion owns an outcome-driven case for change aligned to personal priorities, A trusted champion with credibility and influence is positioned to sponsor the solution internally",Positive,Structural Strength,HIGH,EXIT,"Zone1, Zone2, Zone3, Zone4","Champion Strength, Buyer Consensus","Empower_Champion, Selling_to_Consensus, Secure_EB_Alignment"
EB Sponsorship Motion,"EB leans in, validating direction and impact.",Economic Buyer is engaged and sponsoring the initiative,Economic Buyer Engagement,"Is the economic buyer directly engaged and supportive, Has the economic buyer validated the problem, outcomes, and investment, Is the economic buyer creating urgency or alignment across stakeholders","Economic buyer has validated the problem, outcomes, and investment as business priorities, Champion has influenced the economic buyer to engage as sponsor, Economic buyer supports the purchase but lacks consensus-backed execution confidence",Positive,Structural Strength,HIGH,ADVANCE,"Zone2, Zone3, Zone4","Case For Change Strength, Economic Buyer Commitment","Empower_Champion, Activate_Consensus, Champion_Negotiation"
Consensus Expansion Momentum,New stakeholders are proactively added to expand and strengthen support.,Stakeholder engagement is expanding and consensus is forming,Multi-Threading Momentum,"Are stakeholders being added proactively with positive context, Is access expanding across functions tied to our differentiated outcomes, Are buyers accelerating multi-threading toward selection","Stakeholder engagement is driven by an internal sponsor, Additional stakeholders are engaging as value is recognized, Consensus expansion is limited by unaddressed stakeholder trust criteria",Positive,Momentum Strength,MEDIUM,ADVANCE,"Zone1, Zone2, Zone3","Buyer Consensus, Champion Strength","Activate_Consensus, Secure_EB_Alignment"
High Responsiveness Momentum,"Communication accelerates, indicating internal urgency and strong fit.",Buyer engagement is accelerating with faster responses and next steps,Responsiveness Velocity,"Is the buyer consistently responsive in communication, Are tasks or data returned with urgency, Is responsiveness increasing as the decision approaches","Champion-sponsored case for change is prioritized as urgent, Decision timing is aligned across stakeholders, Stakeholder communication is accelerating internal alignment",Positive,Momentum Strength,MEDIUM,ADVANCE,"Zone1, Zone2, Zone3, Zone4","Buyer Urgency, Champion Strength","Empower_Champion, Activate_Consensus"
Validation Advantage,Buyer structures validation around your solution’s strengths.,Validation steps are aligned to your differentiated capabilities,Differentiated Validation Momentum,"Is the validation plan aligned to our strengths, Are evaluation criteria being shaped in our favor, Are competitors struggling to meet the criteria","Validation is co-designed with a champion aligned to success criteria, Evaluation criteria favor differentiated outcomes, Stakeholders collaborate on validation aligned to solution strengths, Validation confirms preferred solution but commercial alignment is incomplete",Positive,Structural Strength,HIGH,ADVANCE,"Zone2, Zone3","Differentiation Leverage, Case for Change Strength","Empower_Champion, Activate_Consensus, Champion_Negotiation"
Adoption Converting to Decision,"Product usage is delivering meaningful value and converting into ownership, stakeholder alignment, and a structured buying process",Usage is delivering value and expanding into a defined decision path with internal ownership and commercial awareness,"Adoption Conversion Momentum, Usage Demonstrates Material Value, Multi-Threading Momentum","Is the product delivering meaningful value to the business, Is there a clear internal owner driving this forward, Has usage converted into a defined buying process","Product value is experienced directly through usage, An internal owner has taken responsibility for advancing the initiative, Stakeholders are aligning around outcomes and commercial progression",Positive,Structural Strength,HIGH,ADVANCE,"Zone1, Zone2","Champion Strength, Buyer Consensus, Decision Process Alignment","Identify_Champion_Targets, Build_Champion, Selling_to_Consensus, Secure_EB_Alignment"
